Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
CHARADRIIFORMES	Laridae	Larus delawarensis	Larus delawarensis	0.2452	0.4527	6.0373	8	22
CHARADRIIFORMES	Laridae	Larus dominicanus	Larus dominicanus	0.1929	0.3987	6.6962	2	4
CHARADRIIFORMES	Laridae	Larus fuscus	Larus fuscus	0.2393	0.4749	6.8727	6	17
CHARADRIIFORMES	Laridae	Larus genei	Larus genei	0.2410	0.4097	5.4963	3	9
CHARADRIIFORMES	Laridae	Larus glaucescens	Larus glaucescens	0.2268	0.4411	7.0849	59	139
CHARADRIIFORMES	Laridae	Larus glaucoides	Larus glaucoides	0.2536	0.5312	7.2188	4	9
CHARADRIIFORMES	Laridae	Larus heermanni	Larus heermanni	0.2416	0.4384	5.8825	17	44
CHARADRIIFORMES	Laridae	Larus hemprichii	Larus hemprichii	0.1988	0.3784	5.8058	1	2
CHARADRIIFORMES	Laridae	Larus hyperboreus	Larus hyperboreus	0.2681	0.4601	7.3257	8	20
CHARADRIIFORMES	Laridae	Larus livens	Larus livens	0.2197	0.5027	7.2358	1	3
CHARADRIIFORMES	Laridae	Larus maculipennis	Larus maculipennis	0.2161	0.3754	5.0894	2	3
CHARADRIIFORMES	Laridae	Larus marinus	Larus marinus	0.2803	0.4860	7.8012	8	22
CHARADRIIFORMES	Laridae	Larus minutus	Larus minutus	0.2000	0.3722	4.3342	3	5
CHARADRIIFORMES	Laridae	Larus novaehollandiae	Larus novaehollandiae	0.2283	0.4629	5.3401	2	4
CHARADRIIFORMES	Laridae	Larus occidentalis	Larus occidentalis	0.2420	0.4886	7.1106	59	152
CHARADRIIFORMES	Laridae	Larus philadelphia	Larus philadelphia	0.1788	0.3840	4.6936	1	3
CHARADRIIFORMES	Laridae	Larus pipixcan	Larus pipixcan	0.2646	0.4316	5.1410	5	13
CHARADRIIFORMES	Laridae	Larus ridibundus	Larus ridibundus	0.2163	0.4132	5.2997	3	9
CHARADRIIFORMES	Laridae	Gabianus scoresbii	Leucophaeus scoresbii	0.2052	0.4392	6.0441	1	4
CHARADRIIFORMES	Laridae	Pagophila alba	Pagophila eburnea	0.2828	0.4590	5.8352	1	2
CHARADRIIFORMES	Laridae	Rissa brevirostris	Rissa brevirostris	0.2817	0.4309	5.6341	8	14
CHARADRIIFORMES	Laridae	Rissa tridactyla	Rissa tridactyla	0.2552	0.3851	5.5084	13	26
CHARADRIIFORMES	Laridae	Rynchops niger	Rynchops niger	0.1725	0.3830	4.5526	20	72
CHARADRIIFORMES	Laridae	Sterna melanogaster	Sterna acuticauda	0.1756	0.3316	3.2220	2	6
CHARADRIIFORMES	Laridae	Sterna albifrons	Sterna albifrons	0.1906	0.3570	3.0758	52	115
CHARADRIIFORMES	Laridae	Sterna aleutica	Sterna aleutica	0.2897	0.5311	4.3587	5	10
CHARADRIIFORMES	Laridae	Sterna anaethetus	Sterna anaethetus	0.2166	0.4745	4.8174	6	6
CHARADRIIFORMES	Laridae	Sterna aurantia	Sterna aurantia	0.1689	0.3706	4.3214	2	6
CHARADRIIFORMES	Laridae	Sterna bergii	Sterna bergii	0.3019	0.4550	6.2359	2	2
